#note=LongTail_100x: CE baseline vs best CEGS per dataset (long-tail imbalance 100:1 on CIFAR10/100/SVHN). ImageNet 32x32 no LT.
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	pe_mode	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind	env_IMAGENET_ORIGINAL	env_IMAGENET_RES	env_IMAGENET_DS_ROOT	env_DL_WORKERS	env_IMAGENET_TORCHVISION	wandb_project	wandb_group	wandb_name	eval_extra_every	eval_adv_suite	adv_attacks	adv_eps	adv_steps	adv_restarts	adv_alpha	adv_pixel	eval_c_suite	c_corruptions	c_severities	c_name	c_severity	imbalance	imb_factor	imb_seed	dump_gates	dump_gates_n
binaryCifar10	0	epochs	150	0.01	0.9	64	0	False	none	std	150	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg_binary_pmax	LongTail_100x	binaryCifar10_CE_T150_LT100_from37988109_0	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
binaryCifar10	0	epochs	150	0.01	0.9	64	0	False	none	std	150	0	ecg	ce	logk_rms	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.76	20	20	True	binary_autocap_autoq0p76_k20	best						ecg_binary_pmax	LongTail_100x	binaryCifar10_autocap_q76_k20_LT100_from38017823_1	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
cifar10	0	epochs	60	0.01	0.9	64	0	False	none	std	60	0	ce	ce	none	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg-cifar10	LongTail_100x	cifar10_CE_T60_LT100_from37990933_0	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar10	0	epochs	60	0.01	0.9	64	0	False	none	std	60	0	ecg	ecg	none	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.77	20	20	True	cifar10_autocap_autoq0p77_k20	best						ecg-cifar10	LongTail_100x	cifar10_autocap_q77_k20_LT100_from38012986_6	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar100	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline_lr001	baseline						ecg-cifar100-pmax1	LongTail_100x	cifar100_CE_T60_lr001_LT100_from38017077_0	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar100	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ecg	ecg	logk_rms	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.71	20	20	True	cifar100_autocap_autoq0p71_k20_lr001	best						ecg-cifar100-pmax1	LongTail_100x	cifar100_autocap_q71_lr001_LT100_from38019954_3	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	60	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg-cifar100-pmax	LongTail_100x	cifar100_CE_T60_LT100_from37991463_0	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	60	0	ecg	ecg	logk_rms	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.70	20	20	True	cifar100_autocap_autoq0p70_k20	best						ecg-cifar100-pmax	LongTail_100x	cifar100_autocap_q70_k20_LT100_from38007062_1	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			exp	100	0	True	2000
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ce	ce	logk_rms	none	True	none	0	0	0	0	0	0	True	CE_baseline	baseline						ecg-svhn-pmax	LongTail_100x	svhn_CE_T60_LT100_from37991813_0	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					exp	100	0	True	2000
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ecg	ecg	logk_rms	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.80	20	20	True	svhn_autocap_autoq0p80_k20	best						ecg-svhn-pmax	LongTail_100x	svhn_autocap_q80_k20_LT100_from38017315_0	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					exp	100	0	True	2000
