#wandb_project=cegs-imageNet1k-pmax-a100
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	pe_mode	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	80	0	ce	ce	none	True	none							True	imagenet_ce_baseline_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.05	0.15	0.65	0.93	10	20	True	imagenet_cegs_pmax_lam05_15_tau65_93_k10_20_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.03	0.10	0.65	0.93	10	20	True	imagenet_cegs_pmax_lam03_10_tau65_93_k10_20_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.08	0.20	0.65	0.93	10	20	True	imagenet_cegs_pmax_lam08_20_tau65_93_k10_20_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.05	0.15	0.60	0.90	10	20	True	imagenet_cegs_pmax_lam05_15_tau60_90_k10_20_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.05	0.15	0.70	0.95	10	20	True	imagenet_cegs_pmax_lam05_15_tau70_95_k10_20_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.05	0.15	0.65	0.93	5	10	True	imagenet_cegs_pmax_lam05_15_tau65_93_k05_10_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.05	0.15	0.65	0.93	20	30	True	imagenet_cegs_pmax_lam05_15_tau65_93_k20_30_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.02	0.08	0.60	0.90	5	15	True	imagenet_cegs_pmax_lam02_08_tau60_90_k05_15_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.10	0.25	0.70	0.95	15	30	True	imagenet_cegs_pmax_lam10_25_tau70_95_k15_30_a100_b64_lr01_e80	official
imageNet	0	epochs	80	0.01	0.9	64	4	True	none	std	logk_rms	70	10	ce	ecg	pmax	True	linear	0.05	0.15	0.65	0.93	12	24	True	imagenet_cegs_pmax_lam05_15_tau65_93_k12_24_a100_b64_lr01_e80	official
