#wandb_project=ecg-svhn-pmax-80
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	pe_mode	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ce	ce	none	True	none	0	0	0	0	0	0	True	svhn_CE_baseline	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.90	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.85	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.80	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.75	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.70	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.65	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.60	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.55	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	80	0.01	0.9	64	0	True	none	std	logk_rms	80	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.50	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation

#wandb_project=ecg-svhn-pmax
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	pe_mode	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	q	0.80	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.80_0.75	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.80_0.85	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.80	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax_temp	True	linear	auto_tr_autocap	0.05	auto_q	0.80	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax_temp	True	linear	auto_tr_autocap	0.05	auto_q	0.81	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax_temp	True	linear	auto_tr_autocap	0.05	auto_q	0.79	20	20	True	svhn_autoDW_autoQ06_k20_pmaxlin	ablation
