#wandb_project=cegs-imageNet32-pmax
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	pe_mode	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	force_run	method_name	run_kind	stage2_fast	stage2_find_every	stage2_ce_log_every
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	60	0	ce	ce	none	True	none	0	0	0	0	0	0	True	imnet32_ce_baseline	official	False	0	0
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.01	0.06	0.65	0.90	3	8	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.02	0.08	0.68	0.92	4	10	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.03	0.10	0.70	0.94	5	12	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.04	0.12	0.72	0.95	6	14	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.05	0.14	0.74	0.96	8	16	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.06	0.16	0.76	0.97	10	18	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.08	0.20	0.78	0.98	12	20	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	logk_rms	15	45	ce	ecg	pmax	True	linear	0.04	0.18	0.66	0.88	6	18	True	imnet32_ce15_pmax_lin	official	True	10	20
imageNet	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	q	0.38	20	20	True	imnet32_ecg60_pmax_lin_autocap_q0p38_k20	official	True	10	20
imageNet	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.38_0.70	20	20	True	imnet32_ecg60_pmax_lin_autocap_autoq0p38-0p70_k20	official	True	10	20
imageNet	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.38_0.75	20	20	True	imnet32_ecg60_pmax_lin_autocap_autoq0p38-0p75_k20	official	True	10	20
imageNet	0	epochs	60	0.01	0.9	64	0	True	none	std	logk_rms	60	0	ecg	ecg	pmax	True	linear	auto_tr_autocap	0.05	auto_q	0.38_0.80	20	20	True	imnet32_ecg60_pmax_lin_autocap_autoq0p38-0p80_k20	official	True	10	20
